Handle,Title,Vendor,Type,Variant Barcode,Variant Price,Variant Weight,Variant Weight Unit,Google Shopping / MPN,Variant Grams,Body (HTML),Image Src
NSS200,SWITCH Fire Emblem Engage,Nintendo,Nintendo Switch Games,45496478551,,"0,05",,NSS200,,"<p><strong>Fell Dragon povstane!</strong></p>

<p>Přivolávejte emblémy a zachraňte kontinent Elyos ve Fire Emblem Engage pro Nintendo Switch.</p>

<p>Nová hra ze série Fire Emblem se odehrává na kontinentu Elyos, který se skládá ze čtyř říší obklopující svatou zemi v jeho samotném středu. Před tisíci lety zde vypukla krutá válka mezi obyvateli Elyous a Fell Dragonem.</p>

<p>Během ní&nbsp;začal místní&nbsp;vyvolávat emblémy, hrdiny z ostatních světů, aby jim přišli pomoct. Společně s emblémy po svém boku bojovníci každého z národů srdnatě bojovali, až nakonec se jim podařilo Fell Dragona uvěznit. Nicméně v poslední době se začínaly objevovat zprávy, že by Fell Dragon&nbsp;mohl být brzy vzkříšen...</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/qd-bZCeh8gA"" title=""YouTube video player"" width=""560""></iframe></p>

<p>Ujměte se Aleara, tzv. Divine Dragona, jenž se vzbudí tisíce let po skončení války, aniž by si cokoliv pamatoval. Reagujte na výzvu se zapojit do bojů a společně se svými spojence zabraňte tomu, aby došlo ke vzkříšení Fell Dragona.</p>

<p>Čeká vás velké dobrodružství! Poznávejte celou řadu spolubojovníků i nepřátel z každého národu a předejděte zničení světa.</p>

<p><strong>Fire Emblem Engage vyjde 20. ledna 2023 na konzoli Nintendo Switch.</strong></p>",https://com.cqe.cz/gallery/1_57494/switch-fire-emblem-engage-default.jpg
NSS192,SWITCH Fashion Dreamer,Nintendo,Nintendo Switch Games,45496511166,,"0,05",,NSS192,,"<p>Enter a virtual world full of your fashion imagination, where coordination and communication play a major role. A new life as an influencer awaits you!</p>

<p><strong>Create new clothes and get likes!</strong></p>

<p>The virtual space is teeming with muses - fashion fans - who are always looking for new inspiration. Dazzle them with your latest pieces and if you catch their eye, you'll get their likes. Collect more and more likes and become an iconic fashion influencer!</p>

<p><strong>Send likes and get new items!</strong></p>

<p>Have you spotted a muse with impeccable taste? Let her know! Giving a like will allow you to use their fashion pieces not only for yourself, but also when recommending outfits to other muses.</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/k4afmwt12LQ"" title=""YouTube video player"" width=""560""></iframe></p>

<p><strong>Start your own brand with your own items!</strong></p>

<p>You can have a blast designing new outfits and accessories! Customize over 1400 collectibles with your favorite styles and colors, and sew your own unique style for yourself. Your creations are the foundation of your brand, so recommend them to other muses and conquer the fashion world with them!</p>

<p><strong>Communicate with muses from all over the world online!</strong></p>

<p>When you connect to the internet, other players' muses will appear in your world and you can wear their original outfits. Before you know it, your own designs could become an international hit!</p>",https://com.cqe.cz/gallery/1_60193/switch-fashion-dreamer-default.jpg
NSS206,SWITCH Fire Emblem Warriors: Three Hopes,Nintendo,Nintendo Switch Games,45496429942,,"0,05",,NSS206,,"<p><strong>Odhalte osudy tří národů ve hře Fire Emblem Warriors: Three Hopes, která vyjde pro Nintendo Switch. Jedná se o jiný příběh ze stejného světa jako Fire Emblem: Three Houses.</strong></p>

<p>V oblasti Fódlan, kam je Fire Emblem Warriors: Three Hopes dějově zasazeno, vládnou tři mocnosti. Narazíte zde na postavy z Fire Emblem: Three Houses a vychutnáte si ve zdejším světě nové dobrodružství.</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/OnWHTuQbtWQ"" title=""YouTube video player"" width=""560""></iframe></p>

<p>Užijte si souboje, které v sobě spojují akci a taktiku. Ovládejte postavy a koste hordy nepřátel v intenzivní Warriors akci, zároveň s tím lze udělovat i příkazy svým spojencům. Přemýšlejte takticky a rozhodněte, kdy postoupit dále – vždy bude záležet na aktuální situaci na bojišti. Mezi bitvami můžete promlouvat s ostatními postavami z Fire Emblem: Three Houses.</p>

<p>Co na vás čeká v tomto doposud neviděném příběhu? Bude to naděje, nebo zoufalství?&nbsp;</p>

<p><strong>Titul Fire Emblem Warriors: Three Hopes vyjde 24. června pro Nintendo Switch.</strong></p>

<p><em>Hra bude dostupná v angličtině, francouzštině, němčině, španělštině a italštině. Bude rovněž obsahovat anglický a japonský dabing.&nbsp;</em></p>",https://com.cqe.cz/gallery/1_55372/switch-fire-emblem-warriors-three-hopes-default.jpg
NSS240,SWITCH Go Vacation,Nintendo,Nintendo Switch Games,45496422462,,"0,05",,NSS240,,"<h2>Užijte si zábavy plnou rodinnou dovolenou kdykoliv, kdekoliv s Go Vacation.</h2>

<p>Vítejte na ostrově Kawawii! V&nbsp;ráji, kde si přátelé a rodina mohou užít&nbsp;kooperaci více jak 50 lidí zároveň a změřit mezi sebou své síly v&nbsp;různorodých aktivitách.</p>

<p>Vzrušujících cest a možností jak prozkoumat ostrov je celá řada, ať už v&nbsp;sedle koně, nebo čtyřkolky, sněžného skútru, či na kolečkových bruslích. A aby zábavy nebylo málo, až 4 hráči současně si mohou na jedné konzoli užít návštěvu ostrova a společně prozkoumat jeho veškerá zákoutí.</p>

<p>Pro hraní multiplayer módu každému hráči postačí jeden Joy-Con ovladač. Každý den zažijete něco nového a čekají Vás hodiny zábavy. Upravte si vzhled své postavy, kostýmů, vozidel a dokonce i domácích mazlíčků! Denní dárky a výzvy budou pro Vás dostatečnou motivací a důvodem se na ostrov Kawawii vracet a prozkoumávat terén pečlivěji společně s opakovaným&nbsp;hraním různorodých aktivit. Mii postavičky, nebo herní postavy vašich přátel a rodiny se mohou během hraní kdykoliv objevit a pokud se tak stane, můžete s&nbsp;nimi kdykoliv soupeřit. Upravte svoji vilu, tím že dostanete k&nbsp;dispozici přes 450 kusů nábytku.</p>

<ul>
	<li>Ostrov Kawawii je ráj s&nbsp;kooperací pro více jak 50 hráčů a plný soutěžních aktivit.</li>
	<li>Prozkoumej 4 obrovské oblasti: Přístav, město, sněžnou oblast, hory. Prozkoumej je např. na hřbetu koně, pod vodou, nebo pomocí jiných vozidel.</li>
	<li>Užij si odpočinkové aktivity jako potápění, ježdění na koni a rybaření na moři.</li>
	<li>Vyzkoušej extrémní sporty jako skok padákem, surfování a skateboarding.</li>
	<li>Soutěž a buď nejlepší v řadě dalších zábavných aktivit jako je lyžování, plážový volejbal a tenis</li>
	<li>Až 4 hráči můžou hrát spolu na jedné konzoli s&nbsp;možností různorodého typu ovládání včetně ovládání pomocí pohybu.</li>
	<li>Podej Joy-Con ovladač kamarádovi a užijte si společně spoustu zábavy v&nbsp;multiplayeru.</li>
	<li>Joy-con volant je volitelné příslušenství při hraní aktivit vyžadujících&nbsp;vozidlo (prodáváno samostatně).</li>
	<li>Uprav si svoji postavu pomocí kostýmů a vyber si psího společníka. Na výběr bude z&nbsp;různých plemen.</li>
	<li>Denní dárky zahrnují nová psí plemena, nebo kostýmy.</li>
	<li>Denní výzvy budou ve třech sestavách objevujících se na různých částech ostrova.</li>
</ul>

<p>Nově na Nintendo Switch</p>

<ul>
	<li>Přístavní a horské rybaření s&nbsp;více jak 30 druhy ryb.</li>
	<li>Více jak 40 druhu zvířat k&nbsp;vyfocení a uložení do virtuálního alba.</li>
	<li>Najdi bedny plné odměn vypuštěné letadlem.</li>
</ul>

<p><iframe allow=""autoplay; encrypted-media"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/crsXZiCwA6I"" width=""560""></iframe></p>",https://com.cqe.cz/gallery/1_38104/switch-go-vacation-default.jpg
NSS202,SWITCH Fire Emblem: Three Houses,Nintendo,Nintendo Switch Games,45496424220,,"0,05",,NSS202,,"<p>Úplně nová Fire Emblem hra s novým příběhem a postavami přichází na Nintendo Switch!</p>

<p>Příběh se odehrává ve Fódlanu, kde drží velkou moc nad zemí i lidmi Seirův Chrám. Jako hlavní postava musí hráč nejen bojovat v bitvách, ale může se v některých částech volně pohybovat, navazovat vztahy a sbírat informace.</p>

<p>Toto tahové taktické RPG přidává nové strategické prvky do bitev s navzájem se podporujícími jednotkami na bojišti. Máte buňky na to přežít a dobývat v této zbrusu nové Fire Emblem hře?</p>

<ul>
	<li>Tradiční RPG tahová strategie s novými prvky. Teď, když hráč pohne s jednotkou, podporující jednotky se pohnou spolu s nimi a podpoří je i v bitvě</li>
	<li>V některých částech se mohou hráči volně pohybovat a komunikovat s ostatními postavami</li>
	<li>Hra se odehrává v novém světě, Fódlanu, kde má velký vliv Seirův Chrám</li>
	<li>Hlavní hrdina se setkává se třemi hlavními postavami - Edelgardem, Dimitri a Claude, kteří mají v příběhu významné role</li>
</ul>

<p>&nbsp;</p>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/kbCNrTwKF24"" width=""560""></iframe></p>",https://com.cqe.cz/gallery/1_42590/switch-fire-emblem-three-houses-default.jpg
NSS265,SWITCH Harvest Moon: One World,Nintendo,Nintendo Switch Games,45496426484,,"0,05",,NSS265,,"<p><strong>Objevte svět nových i známých tváří, unikátních vesnic&nbsp;a dobrodružných výzev v Harvest Moon: One World. Spravujte vaši rostoucí farmu v tomto novém dobrodružství na konzoli Nintendo Switch!</strong></p>

<p>Dokážete si představit svět bez rajčat, jahod nebo dokonce zelí? Přesně v takové situaci se ocitnete během hraní nejnovějšího dílu ze série Harvest Moon.&nbsp;Pouze stará kniha nabízí informace o tom, co kdysi bylo… Vydejte se společně s tajemným objevem na dobrodružství, které se rozprostírá nejen ve vašem rodném městě, ale rovnou v celém světě!</p>

<p>Která místa můžete objevovat? Tak například nádherné Halo Halo pláže či zasněžené vršky hor Salmiakki. Doslova celý herní svět čeká, až ho začnete zkoumat.&nbsp;</p>

<p>Harvest Moon: One World nabídne přepracované grafické ztvárnění, což umožní objevovat herní svět zcela novým způsobem, a to jak zkušeným fanouškům, tak i úplným nováčkům.</p>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/Gsmbmrn8TRg"" width=""560""></iframe></p>

<p>Harvest Moon: One World vyjde na konzoli Nintendo Switch 5. března 2021.</p>",https://com.cqe.cz/gallery/1_49076/switch-harvest-moon-one-world-default.jpg
NSS248,SWITCH Grand Theft Auto: The Trilogy - The Def.Ed.,Nintendo,Nintendo Switch Games,45496429027,,"0,05",,NSS248,,"<p>Tři ikonická města, tři epické příběhy. Zahrajte si tři naprosté klasiky, které definovaly žánr akcí z otevřeného světa. Grand Theft Auto III, Grand Theft Auto: Vice City a Grand Theft Auto: San Andreas byly vylepšeny pro novou generaci konzolí. Změny hráči pocítí v novém nasvícení, upraveném prostředí, texturách ve vysokém rozlišení, zvýšené dohledové vzdálenosti nebo v ovládání ve stylu GTA V. Nové verze toho však nabídnou mnohem více, hráči milované světy oživnou s novou úrovní detailů.&nbsp;</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/D71cBUeAL58"" title=""YouTube video player"" width=""560""></iframe></p>

<p>Grand Theft Auto: The Trilogy – The Definitive Edition obsahuje:</p>

<ul>
	<li>Grand Theft Auto III: Vše začíná v Liberty City. S revoluční svobodou a možností jít kamkoliv, Grand Theft Auto III vám umožní se dostat do vnitra zločineckého podsvětí. Tedy pokud máte dost odvahy se do něj vůbec vstoupit…</li>
	<li>Grand Theft Auto: Vice City: Vítejte v osmdesátkách. V éře pořádných hár a pastelových obleků se objevuje muž, který stoupá na žebříčku celého podsvětí. Tommy Vercetti se vrací, aby pomstil svou zradu neony&nbsp;ozářeném tropickém městě, které přetéká možnostmi.&nbsp;</li>
	<li>Grand Theft Auto: San Andreas: Už je to pět let, co Carl 'CJ' Johnson utekl z Los Santos ve státě San Andreas. Město, které trpí kvůli problémům s gangy, drogami i korupcí. Nyní – na začátku 90. let – se CJ vrací domů. Jeho matka byla zavražděna, rodinné vztahy jsou v troskách a kamarádi z dětství se potácejí z jednoho problému do druhého. Do toho krátce po návratu zpět do města obviní policie CJe z vraždy, což ho donutí se vydat na cestu skrz celý stát San Andreas, aby zachránil rodinu a převzal kontrolu nad ulicemi v další hře ze série, která změnila celý průmysl.&nbsp;</li>
</ul>

<p><strong>Fyzická verze Grand Theft Auto: The Trilogy – The Definitive Edition vyjde 11. února.</strong></p>

<p>Fyzická verze Grand Theft Auto: The Trilogy – The Definitive Edition vyžaduje stažení z internetu.</p>

<p>Použití této hry se řídí EULA dostupnou na www.rockstargames.com/eula.&nbsp;Některé herní funkce vyžadují připojení k internetu.&nbsp;Rockstar nezaručuje dostupnost online funkcí, jako jsou nákupy ve hře, multiplayer nebo stahovatelný obsah, a to kdykoli, včetně při spuštění.&nbsp;Všechny online funkce podléhají podmínkám dostupným na www.rockstargames.com/legal.&nbsp;Některé herní funkce vyžadují registraci účtu Rockstar Social Club, jednorázový sériový kód nebo další poplatky;&nbsp;takové vlastnosti jsou nepřenosné.&nbsp;Rockstar si vyhrazuje právo upravit nebo ukončit dostupnost jakýchkoli herních funkcí podle svého uvážení bez upozornění.&nbsp;Pro informace, zákaznický servis a technickou podporu navštivte&nbsp;www.rockstar.com/support.</p>",https://com.cqe.cz/gallery/1_53547/switch-grand-theft-auto-the-trilogy-the-def-ed-default.jpg
NSS302,SWITCH Hyrule Warriors: Age of Calamity,Nintendo,Nintendo Switch Games,45496427023,,"0,05",,NSS302,,"<p><strong>Dobrodružství zasazené 100 let před událostmi&nbsp;hry The Legend of Zelda: Breath of the Wild…&nbsp;</strong></p>

<p>Cestujte do minulosti Hyrule a zabraňte svým bojem zničení království v Hyrule Warriors: Age of Calamity na konzoli Nintendo Switch.&nbsp;</p>

<p>Osud Hyrule visí na vlásku. Vraťte se o celé století zpět před události ze hry The Legend of Zelda: Breath of the Wild, veďte své jednotky na bojišti proti síle Calamity Ganon v titulu, kde je přežití&nbsp;středobodem všeho.&nbsp;</p>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/uDMWRRAEogs"" width=""560""></iframe></p>

<p><strong>Odvěký boj!</strong></p>

<p>Hyrule Warriors: Age of Calamity kombinuje akční hratelnost s rozlehlou krajinou The Legend of Zelda: Breath of the Wild a vytváří zcela nový a poutavý zážitek.</p>

<ul>
	<li>Známý svět…: Objevujte krajinu Hyrule z různých perspektiv ještě předtím, než udeřil Calamity Ganon.</li>
	<li>…se známými tvářemi: Ovládejte Linka, Zeldu a ostatní Hyrule šampiony ve chvíli, kdy všichni stojí proti zlu usilujícímu o úplně zníčení!&nbsp;</li>
	<li>Zběsilý boj: Využívejte mocné zbraně a magické runy k přemožení armád nepřátel. Skutečně hrozivé příšery vám nic nedarují.&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</li>
	<li>Vyprávění s hloubkou: Zažijte unikátní příběh přímo na bojišti a skrz nadabované cutscény poznávejte lépe okolní svět. Zabraňte zkáze Great Calamity a zachraňte Hyrule!&nbsp;</li>
</ul>

<p><strong>Stůjte bok po boku</strong></p>

<p>Zapojte do bitvy i svého kamaráda a vydejte se spolu na dobrodružství na jedné konzoli Nintendo Switch. Bojujte bok po boku, či se rozdělte, plňte úkoly a porážejte jednotky temnoty!</p>

<p><strong>Hyrule Warriors: Age of Calamity vyjde 20. listopadu na konzoli Nintendo Switch.</strong></p>",https://com.cqe.cz/gallery/1_47728/switch-hyrule-warriors-age-of-calamity-default.jpg
NSS300,SWITCH Hyrule Warriors Definitive Edition,Nintendo,Nintendo Switch Games,45496421816,,"0,05",,NSS300,,"<p style=""font-size: 13px;"">Vezměte si sebou epický Hyrule Warriors žážitek na cesty! Hra&nbsp;<strong>Hyrule Warriors: Definitive Edition</strong> je finální verzí hry. Obsahuje všechna DLC a navíc i nové kostýmy pro Linka a Zeldu inspirované nejnovější hrou&nbsp;The Legend of Zelda: Breath of the Wild.</p>

<p style=""font-size: 13px;"">Postupováním v příběhu se vám odemknou další postavy, každá s vlastními unikátními útoky a typy zbraní. Sbírejte Rupeeny a další užitečné věci, aby jste zlepšili své zbraně a tvořili Odznaky, které můžete použít na zlepšení dovedností vašich bojovníků. &nbsp;Další novinkou je například schopnost ihned přepínat&nbsp;mezi postavami, což vám dává možnost strategického umístění bojovníků a tím máte zbrusu nové způsoby, jak zneškodnit své nepřátele.</p>

<p style=""font-size: 13px;"">Úplnou novinkou je pak postava Linkle, dívky žijící v malé vesnici plné Cuccos a vyzbrojené dvojicí ručních kuší, která taktéž rozšíří soupisku hratelných postav. Hráči budou moct velet více postavám, strategicky je rozmisťovat po bojišti a přepínat mezi nimi tak, aby mohli vždy osobně zasáhnout do těch nejtužších bojů.</p>

<p><iframe allow=""autoplay; encrypted-media"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/videoseries?list=PLYb2Ex5lahUfE2x9VaUzW6KFho5MfUCQd"" width=""560""></iframe></p>",https://com.cqe.cz/gallery/1_36897/switch-hyrule-warriors-definitive-edition-default.jpg
NSS375,SWITCH Kirby Star Allies,Nintendo,Nintendo Switch Games,45496421656,,"0,05",,NSS375,,"<h2>Růžová kulička je zpět v HD rozlišení. A není sám!</h2>

<p><span style=""font-size: 13px;"">Kirby™ je zpět, konečně&nbsp;v HD rozlišení na Nintendo Switch konzoli! Tentokrát není sám. Zrekrutuj své nepřátele tím, že je zasáhneš srdíčky, a získej si tak spojence a pomocníky do skupiny až čtyř postav. Kromě toho můžeš spojit síly až se třemi přáteli pro úplně jiný druh týmové akce.</span></p>

<h2>Vlastnosti:</h2>

<ul>
	<li>Nejnovější titul s Kirbym v hlavní roli pro Nintendo Switch</li>
	<li>Zrekrutuj až 3 nepřátele tím, že je zasáhneš srdíčkem</li>
	<li>Vrací se některé copy ability, např. Měč, Oheň, Voda, Bomba, Koště a mnohé další!</li>
	<li>Nabij copy ability různými elementy jako oheň, voda, vítr nebo elektřina tím, že je půjčíš či dáš někomu ze svých pomocníků, abys tak přidal větší sílu útokům, mohl používat speciální útoky nebo řešit hádanky</li>
	<li>Až 4 hráči mohou hrát spolu se 4&nbsp;<span style=""font-size: 13px;"">Joy-Con™ ovladači horizontálně</span></li>
</ul>",https://com.cqe.cz/gallery/1_37113/switch-kirby-star-allies-default.jpg
NSS372,SWITCH Kirby and the Forgotten Land,Nintendo,Nintendo Switch Games,45496429270,,"0,05",,NSS372,,"<p><strong>Objevujte nové 3D dobrodružství Kirbyho zasazené do tajemného světa</strong></p>

<p>Nové Kirbyho dobrodružství na konzoli Nintendo Switch bude mít 3D podobu! V této nové hře se hráči mohou volně pohybovat po 3D oblastech a využívat známé schopnosti. Co čeká Kirbyho na jeho dobrodružství ve chvílích, kdy bude objevovat opuštěný a záhadami obestřený svět dávných civilizací?</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/H3LAkr0ANgw"" title=""YouTube video player"" width=""560""></iframe></p>

<p><strong>Kirby and the Forgotten Land dorazí na Nintendo Switch 25. března.&nbsp;</strong></p>",https://com.cqe.cz/gallery/1_54680/switch-kirby-and-the-forgotten-land-default.jpg
NSS378,SWITCH Kirby's Return to Dream Land Deluxe,Nintendo,Nintendo Switch Games,45496478643,,"0,05",,NSS378,,"<p><strong>Blíží se vylepšená verze Kirby’s Adventure Wii!</strong></p>

<p>Kirby’s Return to Dream Land Deluxe je novou verzí hry Kirby’s Adventure Wii, která už brzy dorazí na Nintendo Switch. Až se čtyři hráči se mohou připojit ke Kirbymu a jeho přátelům na cestě skrz Dream Land, aby pomohli opravit Magolorovi jeho porouchanou vesmírnou loď.</p>

<p><strong>Najděte si svou oblíbenou kopírovací schopnost</strong></p>

<p>Kromě meče, biče a dalších známých kopírovacích schopností zažije svou premiéru i schopnost s příznačným názvem Mecha. Staňte se robotem a létejte po obloze, útočte ze zálohy díky svému kanónu nebo se pusťte do soubojů na blízko se silnými údery. Rovněž můžete vdechnout svítící nepřátele a využít tak speciální super schopnosti – ultra silné kopírovací schopnosti, které převrátí jazýčky na vahách ve váš prospěch!</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/EJtMoi-tuyI"" title=""YouTube video player"" width=""560""></iframe></p>

<p><strong>Společné dobrodružství!</strong></p>

<p>Hrajte s ostatními hráči díky ovladači Joy-Con, kdy až čtyři hráči na jedné konzole se mohou zapojit do hraní. Hrajte za známé postavy jako Kirby, Meta Knight, King Dedede či Bandana Waddle Dee. Případně může hrát každý za Kirbyho, kdy přijdou na řadu všechny jeho kopírovací schopnosti.</p>

<p><strong>Užijte si celou řadu miniher!</strong></p>

<p>Odpočiňte si od velkolepého dobrodružství v rámci spousty miniher, které jsou hratelné až ve čtyřech hráčích. Ti, kteří hráli původní hru, určitě poznají Ninja Dojo a Samurai Kirby, nicméně i pro ně bude nová minihra s názvem Magolor’s Tome Trackers.</p>

<p><strong>Kirby's Return to Dream Land Deluxe vyjde 24. února 2023 pro Nintendo Switch.</strong></p>",https://com.cqe.cz/gallery/1_58213/switch-kirby-s-return-to-dream-land-deluxe-default.jpg
NSS424,SWITCH Luigi's Mansion 3,Nintendo,Nintendo Switch Games,45496425241,,"0,05",,NSS424,,"<p>Luigiho dovolená snů se promění v děsivou a slizkou noční můru v Luigi's Mansion 3 pro Nintendo Switch!</p>

<p>Luigi&nbsp;se svým bratrem Mariem a jejich přáteli se po obdržení pozvánky do luxusního hotelu vydávají na dovolenou snů. Všechno se ale změní v noční můru poté, co King Boo odhalí, že všechno byla jen snaha zajmout Maria a jeho přátele.</p>

<p>Opět s pomocí profesora E. Gadda se strašpytel Luigi zdráhavě vydává na cestu zrádnýmí podlažími zlověstného hotelu ve snaze své přátele zachránit.</p>

<p>Popadněte vylepšený vysavač Poltergust G-00, se kterým můžete dát na budku všem duchům, co vám budou stát v cestě, nebo je odfouknout. Umožní vám také přivolat Gooigiho, zeleného klona, který Luigimu může pomoc překonat překážky, se kterými by si jinak neporadil. Mezi Luigim můžete v režimu jednoho hráče libovolně přepínat nebo za něj v režimu kooperace nechat hrát kamaráda či člena rodiny.</p>

<p>Pro ještě šílenější akci je tu ScareScraper multiplayerový mód, ve kterém závodíte s časem při plnění úkolů a prohánění se sérii strašidelných podlaží. Režim ScareScraper můžete hrát lokálně nebo online až na osmi konzolích Nintendo Switch zároveň.</p>

<h2>Klíčové vlastnosti:</h2>

<ul>
	<li>Luigi je možná strašpytel, má však k dispozici mnohem víc nástrojů a schopností než kdy dříve. Ovládněte Luigiho nové útoky jako Slam či Burst</li>
	<li>Spojte se s nejnovějším vynálezem profesora E. Gadda, Gooigim, zeleným klonem, který je schopný protáhnout se úzkými průchody, chodit po bodcích a pomáhat Luigimu tam, kde by jinak byl v koncích</li>
	<li>Přepínejte mezi Luigim a Gooigim v režimu jednoho hráče nebo za něj nechte hrát kamaráda</li>
	<li>Objevte Last Resort a vyšplhejte přes jeho tematická podlaží plná pastí a strašidelných nepřátel</li>
	<li>Až 8 hráčů může závodit s časem na sérii podlaží v režimu ScareScraper</li>
</ul>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/whwPVIB5QvA"" width=""560""></iframe></p>",https://com.cqe.cz/gallery/1_43082/switch-luigi-s-mansion-3-default.jpg
NSS422,SWITCH Luigi's Mansion 2 HD,Nintendo,Nintendo Switch Games,45496512149,,"0,05",,NSS422,,"<p><strong>It's time to clean the house!</strong></p>

<p>Join the fearful hero Luigi during his spooky quest in Luigi's Mansion 2 HD for Nintendo Switch.</p>

<p>In this graphically enhanced adventure, you set out to visit haunted locations in Evershade Valley, a place teeming with troublesome ghosts. Luckily, Luigi has the right equipment to deal with them, from Strolbulb to stun enemies and his trusty Poltergust, which drains spirits and objects and interacts with his surroundings.&nbsp;</p>

<p>Luigi's paranormal escapades take him to all sorts of places, including a former research laboratory, a ruined watch factory, and a snow-covered mine.</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/JcBCo7EtVdg?si=J0PvxKX93z-RBJ2W"" title=""YouTube video player"" width=""560""></iframe></p>

<p>Up to four players can team up to take on the ScareScraper challenge. This is a haunted building full of ghosts and challenges that you won't find in the main story. Bring in your ghost hunter lieutenants and conquer terrifying towers in local and online co-op.</p>

<p><em>An internet connection is required. In order to use the Online Services, you must create a Nintendo Account and accept the appropriate arrangements. The Nintendo Account Privacy Policy is enforced. Some online services may not be available in all countries.</em></p>

<p><em>Local co-op requires one console and one copy of the game per player. </em></p>",https://com.cqe.cz/gallery/1_61363/switch-luigi-s-mansion-2-hd-default.jpg
